bc,ac,tbv,tav,time,mp
7009875.55,228256254.68,739294.99,355728.81,1659551887020,24.06
7062498.87,228242732.82,741482.65,355144.76,1659551915590,24.06
7026210.76,228237133.16,739972.28,354909.33,1659551943980,24.06
7024076.80,228244718.40,739884.38,355224.63,1659551947029,24.06
7021542.82,228242299.82,739776.57,355120.55,1659551949884,24.07
7057163.28,228230458.54,741251.47,354605.80,1659551979065,24.08
7022760.50,228259542.00,739837.67,355821.69,1659552008434,24.07
7018729.51,228205324.86,739661.38,353558.69,1659552038308,24.07
7036775.69,228253529.58,740423.43,355554.51,1659552068105,24.08
7021849.18,228238613.18,739798.40,354935.96,1659552098260,24.07
7042945.84,228263405.81,740669.33,355962.59,1659552129001,24.07
7041023.12,228281014.62,740590.02,356685.38,1659552160244,24.07
7038713.71,228277614.03,740494.00,356545.00,1659552162907,24.07
7038914.32,228266294.99,740540.52,356088.95,1659552195199,24.04
7075634.16,228276630.54,742094.11,356551.66,1659552227031,24.05
7036378.72,228274052.69,740454.56,356446.60,1659552258618,24.06
7082132.36,228267950.85,742356.71,356187.63,1659552290530,24.06
7044828.65,228274846.25,740801.86,356477.24,1659552322653,24.06
6984660.04,228259063.37,738303.54,355828.33,1659552355056,24.04
7031229.89,228254321.97,740243.27,355638.22,1659552388573,24.03
7062003.00,228237016.69,741544.51,354938.33,1659552421399,24.05
7031351.51,228250337.32,740262.14,355480.22,1659552454554,24.07
7047779.89,228237424.85,740944.09,354941.09,1659552457663,24.06
7054552.18,228253627.82,741225.87,355613.13,1659552460611,24.07
7051680.91,228253266.77,741105.10,355598.13,1659552463555,24.07
7061574.53,228144486.45,741505.22,351064.73,1659552498936,24.08
7061683.99,228235219.88,741476.15,354837.07,1659552534159,24.08
7041007.57,228248179.91,740613.62,355362.04,1659552570331,24.07
7014304.75,228250807.55,739431.77,355470.97,1659552607016,24.06
7023634.22,228221546.69,739819.47,354258.34,1659552609212,24.06
7018639.34,228239606.52,739631.63,355017.94,1659552645717,24.05
7040218.43,228271648.08,740530.77,356341.54,1659552688297,24.06
7011631.87,228274617.37,739343.55,356466.39,1659552725589,24.04
7081665.29,228274038.09,742267.26,356452.92,1659552763127,24.04
7032731.96,228248078.33,740314.47,355395.56,1659552800853,24.04
7030214.64,228250181.72,740211.09,355482.92,1659552804063,24.04
7039178.27,228241226.82,740583.41,355110.38,1659552807376,24.04
7033952.68,228278225.12,740365.24,356646.28,1659552810101,24.04
7044778.69,228274495.44,740815.95,356491.12,1659552813009,24.04
7053495.74,228254865.21,741178.86,355666.41,1659552852767,24.06
7041402.43,228245692.54,740681.86,355293.45,1659552893076,24.03
7053748.21,228243696.73,741192.90,355210.07,1659552896232,24.04
7036866.37,228281912.58,740513.59,356808.51,1659552937901,24.01
7048221.98,228272732.18,740977.68,356426.44,1659552981379,24.04
7029980.81,228279081.58,740237.80,356718.82,1659553023081,24.03
6996725.78,228284012.13,738854.91,356938.55,1659553071407,24.02
7035513.04,228270904.01,740468.02,356391.62,1659553114044,24.03
6990362.27,228275876.37,738587.46,356599.03,1659553116993,24.02
7022646.92,228248497.75,739932.77,355457.23,1659553119937,24.02
7037880.90,228242215.34,740566.64,355195.33,1659553123022,24.03
7017821.70,228244678.40,739731.19,355297.82,1659553126001,24.03
